GEOID,violent
17031010100,27
17031010201,43
17031010202,37
17031010300,35
17031010400,20
17031010501,9
17031010502,4
17031010503,21
17031010600,32
17031010701,12
17031010702,14
17031020100,10
17031020200,17
17031020301,7
17031020302,12
17031020400,10
17031020500,22
17031020601,16
17031020602,20
17031020701,9
17031020702,15
17031020801,11
17031020802,29
17031020901,40
17031020902,24
17031030101,15
17031030102,11
17031030103,4
17031030104,4
17031030200,14
17031030300,6
17031030400,8
17031030500,21
17031030601,18
17031030603,13
17031030604,7
17031030701,10
17031030702,1
17031030703,14
17031030706,5
17031030800,13
17031030900,5
17031031000,7
17031031100,14
17031031200,47
17031031300,10
17031031400,35
17031031501,7
17031031502,23
17031031700,25
17031031800,8
17031031900,6
17031032100,26
17031040100,14
17031040201,26
17031040202,22
17031040300,11
17031040401,8
17031040402,7
17031040600,6
17031040700,5
17031040800,2
17031040900,6
17031050100,1
17031050200,4
17031050300,4
17031050500,5
17031050600,6
17031050700,2
17031050800,2
17031050900,4
17031051000,2
17031051100,2
17031051200,2
17031051300,1
17031051400,6
17031060100,3
17031060200,4
17031060300,9
17031060400,3
17031060500,4
17031060800,5
17031060900,26
17031061000,10
17031061100,12
17031061200,1
17031061500,6
17031061800,8
17031061901,13
17031061902,5
17031062000,25
17031062100,35
17031062200,19
17031062300,2
17031062400,1
17031062500,6
17031062600,4
17031062700,6
17031062800,4
17031062900,13
17031063000,37
17031063100,13
17031063200,16
17031063301,1
17031063302,4
17031063303,14
17031063400,12
17031070101,10
17031070102,7
17031070103,3
17031070200,15
17031070300,29
17031070400,5
17031070500,2
17031070600,4
17031070700,12
17031071000,5
17031071100,17
17031071200,29
17031071300,12
17031071400,9
17031071500,31
17031071600,6
17031071700,7
17031071800,4
17031080100,9
17031080201,8
17031080202,29
17031080300,34
17031080400,37
17031081000,40
17031081100,30
17031081201,51
17031081202,8
17031081300,40
17031081401,38
17031081402,14
17031081403,51
17031081500,80
17031081600,37
17031081700,73
17031081800,91
17031081900,4
17031090100,0
17031090200,9
17031090300,0
17031100100,7
17031100200,5
17031100300,6
17031100400,8
17031100500,4
17031100600,10
17031100700,1
17031110100,5
17031110200,9
17031110300,5
17031110400,5
17031110501,5
17031110502,17
17031120100,3
17031120200,3
17031120300,4
17031120400,4
17031130100,10
17031130200,9
17031130300,14
17031140100,13
17031140200,38
17031140301,14
17031140302,10
17031140400,9
17031140500,14
17031140601,17
17031140602,24
17031140701,11
17031140702,39
17031140800,23
17031150200,26
17031150300,23
17031150401,11
17031150402,9
17031150501,7
17031150502,6
17031150600,19
17031150700,14
17031150800,13
17031151001,19
17031151002,25
17031151100,31
17031151200,15
17031160100,7
17031160200,8
17031160300,7
17031160400,7
17031160501,16
17031160502,12
17031160601,11
17031160602,5
17031160700,20
17031160800,12
17031160900,13
17031161000,5
17031161100,6
17031161200,6
17031161300,18
17031170100,12
17031170200,12
17031170300,4
17031170400,4
17031170500,7
17031170600,3
17031170700,1
17031170800,6
17031170900,1
17031171000,14
17031171100,8
17031180100,5
17031190100,11
17031190200,27
17031190300,21
17031190401,15
17031190402,20
17031190601,11
17031190602,14
17031190701,9
17031190702,17
17031190800,23
17031190900,5
17031191000,18
17031191100,48
17031191200,19
17031191301,38
17031191302,39
17031200100,15
17031200200,19
17031200300,14
17031200401,11
17031200402,13
17031210100,14
17031210400,17
17031210501,27
17031210502,17
17031210601,14
17031210602,26
17031210700,9
17031210800,3
17031210900,6
17031220300,9
17031220400,11
17031220500,17
17031220601,7
17031220602,36
17031220701,10
17031220702,22
17031220901,13
17031220902,20
17031221000,11
17031221100,16
17031221200,4
17031221300,22
17031221400,10
17031221500,14
17031221600,9
17031222200,9
17031222500,3
17031222600,8
17031222700,9
17031222800,13
17031222900,10
17031230100,9
17031230200,9
17031230300,4
17031230400,11
17031230500,40
17031230600,81
17031230700,56
17031230800,5
17031230900,31
17031231100,14
17031231200,133
17031231500,175
17031240200,7
17031240300,8
17031240500,17
17031240600,5
17031240700,9
17031240800,7
17031240900,44
17031241000,15
17031241100,25
17031241200,22
17031241300,5
17031241400,61
17031241500,22
17031241600,21
17031242000,16
17031242100,14
17031242200,13
17031242300,7
17031242400,8
17031242500,19
17031242600,38
17031242700,9
17031242800,7
17031242900,11
17031243000,8
17031243100,12
